Tag Length (Average tag length = 49.814681)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000032
3	0.000061
4	0.000115
5	0.000134
6	0.000121
7	0.000124
8	0.000130
9	0.000135
10	0.000146
11	0.000142
12	0.000152
13	0.000161
14	0.000160
15	0.000160
16	0.000158
17	0.000165
18	0.000173
19	0.000167
20	0.000160
21	0.000160
22	0.000173
23	0.000173
24	0.000176
25	0.000170
26	0.000171
27	0.000172
28	0.000161
29	0.000167
30	0.000174
31	0.000167
32	0.000168
33	0.000167
34	0.000172
35	0.000165
36	0.000160
37	0.000153
38	0.000153
39	0.000146
40	0.000141
41	0.000138
42	0.000134
43	0.000132
44	0.000644
45	0.000126
46	0.001144
47	0.000048
48	0.004832
49	0.000000
50	0.986914
