Tag Length (Average tag length = 49.811344)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000037
3	0.000060
4	0.000122
5	0.000136
6	0.000128
7	0.000119
8	0.000128
9	0.000143
10	0.000140
11	0.000152
12	0.000158
13	0.000159
14	0.000171
15	0.000162
16	0.000163
17	0.000180
18	0.000171
19	0.000165
20	0.000169
21	0.000169
22	0.000176
23	0.000176
24	0.000174
25	0.000164
26	0.000167
27	0.000180
28	0.000168
29	0.000164
30	0.000179
31	0.000180
32	0.000173
33	0.000168
34	0.000168
35	0.000168
36	0.000161
37	0.000155
38	0.000158
39	0.000146
40	0.000141
41	0.000138
42	0.000137
43	0.000131
44	0.000629
45	0.000121
46	0.001157
47	0.000053
48	0.004875
49	0.000000
50	0.986762
