Tag Length (Average tag length = 49.828463)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000037
3	0.000060
4	0.000111
5	0.000126
6	0.000114
7	0.000119
8	0.000121
9	0.000126
10	0.000133
11	0.000146
12	0.000154
13	0.000150
14	0.000152
15	0.000145
16	0.000146
17	0.000152
18	0.000152
19	0.000152
20	0.000149
21	0.000150
22	0.000153
23	0.000158
24	0.000158
25	0.000160
26	0.000154
27	0.000158
28	0.000155
29	0.000147
30	0.000146
31	0.000154
32	0.000150
33	0.000151
34	0.000148
35	0.000149
36	0.000147
37	0.000142
38	0.000138
39	0.000137
40	0.000128
41	0.000124
42	0.000116
43	0.000112
44	0.000607
45	0.000113
46	0.001047
47	0.000042
48	0.004287
49	0.000000
50	0.988127
