Tag Length (Average tag length = 49.824829)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000039
3	0.000057
4	0.000114
5	0.000130
6	0.000120
7	0.000117
8	0.000126
9	0.000125
10	0.000136
11	0.000149
12	0.000151
13	0.000157
14	0.000158
15	0.000152
16	0.000152
17	0.000154
18	0.000158
19	0.000151
20	0.000157
21	0.000151
22	0.000160
23	0.000161
24	0.000161
25	0.000160
26	0.000154
27	0.000162
28	0.000152
29	0.000152
30	0.000149
31	0.000156
32	0.000157
33	0.000152
34	0.000156
35	0.000157
36	0.000148
37	0.000148
38	0.000141
39	0.000138
40	0.000132
41	0.000125
42	0.000120
43	0.000111
44	0.000618
45	0.000119
46	0.001065
47	0.000047
48	0.004387
49	0.000000
50	0.987861
