Tag Length (Average tag length = 49.816310)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000035
3	0.000058
4	0.000115
5	0.000134
6	0.000124
7	0.000122
8	0.000127
9	0.000136
10	0.000142
11	0.000150
12	0.000150
13	0.000161
14	0.000160
15	0.000155
16	0.000157
17	0.000162
18	0.000168
19	0.000160
20	0.000162
21	0.000153
22	0.000174
23	0.000171
24	0.000170
25	0.000173
26	0.000172
27	0.000166
28	0.000163
29	0.000175
30	0.000164
31	0.000167
32	0.000172
33	0.000162
34	0.000170
35	0.000171
36	0.000154
37	0.000153
38	0.000152
39	0.000153
40	0.000143
41	0.000142
42	0.000134
43	0.000124
44	0.000635
45	0.000133
46	0.001122
47	0.000049
48	0.004654
49	0.000000
50	0.987155
