Tag Length (Average tag length = 49.806374)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000042
3	0.000066
4	0.000129
5	0.000141
6	0.000131
7	0.000122
8	0.000131
9	0.000143
10	0.000143
11	0.000161
12	0.000169
13	0.000172
14	0.000177
15	0.000166
16	0.000173
17	0.000174
18	0.000182
19	0.000168
20	0.000169
21	0.000164
22	0.000173
23	0.000182
24	0.000178
25	0.000174
26	0.000173
27	0.000174
28	0.000174
29	0.000173
30	0.000176
31	0.000180
32	0.000171
33	0.000176
34	0.000170
35	0.000173
36	0.000162
37	0.000159
38	0.000153
39	0.000151
40	0.000144
41	0.000139
42	0.000132
43	0.000132
44	0.000646
45	0.000133
46	0.001175
47	0.000054
48	0.004953
49	0.000000
50	0.986500
