Tag Length (Average tag length = 49.834227)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000029
3	0.000050
4	0.000100
5	0.000121
6	0.000115
7	0.000116
8	0.000116
9	0.000123
10	0.000130
11	0.000134
12	0.000143
13	0.000141
14	0.000154
15	0.000148
16	0.000137
17	0.000147
18	0.000151
19	0.000144
20	0.000142
21	0.000147
22	0.000150
23	0.000153
24	0.000151
25	0.000151
26	0.000150
27	0.000153
28	0.000146
29	0.000148
30	0.000151
31	0.000155
32	0.000152
33	0.000149
34	0.000143
35	0.000147
36	0.000146
37	0.000142
38	0.000141
39	0.000129
40	0.000129
41	0.000126
42	0.000119
43	0.000115
44	0.000584
45	0.000118
46	0.001004
47	0.000043
48	0.004142
49	0.000000
50	0.988475
