Tag Length (Average tag length = 49.837198)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000035
3	0.000054
4	0.000106
5	0.000126
6	0.000113
7	0.000108
8	0.000118
9	0.000119
10	0.000123
11	0.000137
12	0.000141
13	0.000141
14	0.000138
15	0.000143
16	0.000135
17	0.000139
18	0.000150
19	0.000142
20	0.000150
21	0.000140
22	0.000143
23	0.000146
24	0.000155
25	0.000146
26	0.000141
27	0.000152
28	0.000148
29	0.000148
30	0.000147
31	0.000146
32	0.000142
33	0.000140
34	0.000134
35	0.000148
36	0.000137
37	0.000135
38	0.000129
39	0.000130
40	0.000121
41	0.000113
42	0.000115
43	0.000106
44	0.000581
45	0.000109
46	0.001015
47	0.000043
48	0.004073
49	0.000000
50	0.988697
