Tag Length (Average tag length = 49.817042)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000039
3	0.000060
4	0.000123
5	0.000140
6	0.000132
7	0.000125
8	0.000128
9	0.000131
10	0.000138
11	0.000153
12	0.000153
13	0.000162
14	0.000159
15	0.000161
16	0.000166
17	0.000152
18	0.000166
19	0.000155
20	0.000163
21	0.000157
22	0.000163
23	0.000168
24	0.000168
25	0.000162
26	0.000165
27	0.000169
28	0.000165
29	0.000162
30	0.000161
31	0.000165
32	0.000161
33	0.000161
34	0.000159
35	0.000164
36	0.000150
37	0.000155
38	0.000151
39	0.000143
40	0.000136
41	0.000129
42	0.000128
43	0.000119
44	0.000632
45	0.000118
46	0.001112
47	0.000048
48	0.004682
49	0.000000
50	0.987245
